S_No,Date,Time,Location,City,Province,No_of_Strike,Al_Qaeda,Taliban,Civilians_Min,Civilians_Max,Foreigners_Min,Foreigners_Max,Total_Died_Min,Total_Died_Max,Injured_Min,Injured_Max,Women_Children,Comments,Source_Name,Longitude,Latitude,Temperature_C
248,2011-06-27,,Ghalmandi Panga- Bray Nishtar area near the border with Afghanistan and North Waziristan,North Waziristan,FATA,1,,,3,8,,,3,8,,2,0,Compound was being used by local militants afiliated with Hakimullah Mehsud's TTP  Group,reuters,70.1455,32.9746,27
250,2011-07-05,,Guest house in Mirali- about 25 KM east of miranshah,North Waziristan,FATA,1,,,3,4,,,3,4,,5,0,No comments,dailytimes,70.1455,32.9746,25
251,2011-07-11,2:00:00,Gorwaik area of dattakhel town,North Waziristan,FATA,1,,,10,12,,,10,12,,6,0,No comments,google,70.1455,32.9746,25
252,2011-07-12,,Malik shahi village in Birmal Tehsil,South Waziristan,FATA,1,,,5,13,,,5,13,,,0,No comments,cnn,69.9,33.0333,26
255,2011-08-01,,Azamwarsak,South Waziristan,FATA,1,,,4,6,,,4,6,,,0,No comments,dawn,69.9,33.0333,25
256,2011-08-02,,Qutub Khel village- 5km  east of miranshah,North Waziristan,FATA,1,,,,4,,,,4,,,0,No comments,dailytimes,70.1455,32.9746,26
257,2011-08-10,,North western tribal belt along the afghan border,North Waziristan,FATA,2,,,,,,21,18,21,,,0,No comments,guardian,70.1455,32.9746,26
258,2011-08-16,,Miranshah Market,North Waziristan,FATA,2,,,,,,,,4,,,1,US says the region provoides sanctuary to al-Qaeda and Taliban insurgents who are involved in attacks on Nato forces in Afghanistan,bbc,70.1455,32.9746,23
259,2011-08-19,,Sheen Warsik in South Waziristan,South Waziristan,FATA,1,,,,,,,2,4,,,0,No comments,cnn,69.9,33.0333,23
260,2011-08-22,,Norak area of North Waziristan ,North Waziristan,FATA,1,,,,,,,4,5,,,0,No comments,cnn,70.1455,32.9746,27
262,2011-09-11,,HisoKhel Village,North Waziristan,FATA,1,,,,4,,,,4,,,0,No comments,dailytimes,70.1455,32.9746,25
263,2011-09-23,,Khushali Area- Mir Ali,North Waziristan,FATA,1,,,3,5,,,3,5,,4,0,No comments,dawn,70.1455,32.9746,19
